Unnamed: 0,time,event_type,side,is_goal,location,bodypart
8047,40,2,2,0,,
8048,41,1,2,0,8.0,3.0
8066,56,2,1,0,,
8067,56,1,2,0,3.0,3.0
8087,68,3,2,0,,
8088,69,1,1,0,3.0,3.0
8091,71,2,2,0,,
8092,71,1,2,0,7.0,3.0
8212,65,2,2,0,,
8213,66,1,2,0,3.0,3.0
8230,77,2,2,0,,
8231,78,1,2,0,3.0,3.0
8247,89,2,2,0,,
8248,89,1,2,0,3.0,3.0
8285,37,2,1,0,,
8286,37,1,1,0,3.0,3.0
8291,39,2,1,0,,
8292,39,1,1,1,3.0,3.0
8295,46,2,2,0,,
8296,46,1,2,0,3.0,3.0
8357,5,1,1,0,15.0,1.0
8358,5,1,1,1,3.0,3.0
8359,7,2,1,0,,
8360,7,1,1,0,3.0,3.0
8423,52,1,1,0,11.0,1.0
8424,55,1,2,0,3.0,3.0
8428,58,2,2,0,,
8429,58,1,2,0,12.0,3.0
8430,58,1,2,1,13.0,3.0
8449,71,1,2,0,3.0,2.0
8450,73,1,2,0,3.0,3.0
8459,80,2,1,0,,
8460,81,1,1,0,3.0,3.0
8473,89,2,2,0,,
8474,89,1,2,0,3.0,3.0
8479,90,1,1,0,15.0,2.0
8480,2,1,1,1,3.0,3.0
8481,4,1,1,0,15.0,1.0
8482,5,1,2,0,9.0,3.0
8483,6,2,2,0,,
8484,7,1,2,0,3.0,3.0
8489,10,3,2,0,,
8490,11,1,1,0,3.0,3.0
8516,39,2,1,0,,
8517,45,1,1,0,3.0,3.0
8523,50,3,1,0,,
8525,53,1,2,0,3.0,3.0
8593,23,3,2,0,,
8596,24,1,1,0,12.0,3.0
8665,77,2,1,0,,
8666,78,1,1,0,13.0,3.0
8689,8,2,2,0,,
8690,9,1,2,0,10.0,3.0
8693,13,9,2,0,,
8694,14,1,1,0,3.0,3.0
8773,6,2,2,0,,
8774,6,1,2,0,3.0,3.0
8785,17,2,2,0,,
8786,17,1,2,0,3.0,3.0
8804,33,3,1,0,,
8806,34,1,2,0,7.0,3.0
8825,54,1,2,0,3.0,1.0
8826,54,1,2,0,3.0,3.0
8878,3,3,2,0,,
8880,3,1,1,0,3.0,3.0
8914,41,2,1,0,,
8915,42,1,1,0,3.0,3.0
8920,45,2,2,0,,
8921,45,1,2,0,3.0,3.0
8931,52,2,1,0,,
8932,53,1,1,0,3.0,3.0
8958,73,1,1,0,15.0,1.0
8959,74,1,2,0,3.0,3.0
8972,87,1,2,0,15.0,2.0
8973,89,1,1,0,3.0,3.0
9001,24,3,2,0,,
9002,25,1,1,0,3.0,3.0
9027,36,1,1,0,11.0,1.0
9028,36,1,2,0,3.0,3.0
9102,7,2,1,0,,
9103,7,1,1,0,3.0,3.0
9124,23,2,1,0,,
9125,23,1,1,0,13.0,3.0
9181,77,2,1,0,,
9182,77,1,1,0,3.0,3.0
9222,21,2,1,0,,
9224,22,1,1,0,13.0,3.0
9234,32,3,2,0,,
9236,34,1,1,0,3.0,3.0
9295,90,3,1,0,,
9296,90,1,1,0,3.0,3.0
9310,14,1,1,0,15.0,2.0
9311,15,1,2,0,3.0,3.0
9312,17,1,1,0,3.0,3.0
9320,21,9,1,0,,
9321,21,1,2,1,3.0,3.0
9337,33,2,1,0,,
9338,33,1,1,1,3.0,3.0
9456,27,3,1,0,,
9458,28,1,1,0,3.0,3.0
9495,68,3,2,0,,
9496,69,1,1,0,13.0,3.0
9570,34,3,2,0,,
9571,36,1,2,0,15.0,3.0
9581,47,3,2,0,,
9582,47,1,1,0,3.0,3.0
9583,53,1,2,1,3.0,3.0
9614,78,2,2,0,,
9615,78,1,2,0,13.0,3.0
9616,78,1,2,0,12.0,3.0
9617,80,1,1,0,13.0,3.0
9675,43,1,2,0,15.0,2.0
9676,45,1,1,0,3.0,3.0
9677,45,2,2,0,,
9678,45,1,2,0,3.0,3.0
9679,46,9,1,0,,
9680,48,1,2,0,3.0,3.0
9687,51,3,1,0,,
9689,52,1,1,1,3.0,3.0
9705,62,3,2,0,,
9707,63,1,2,0,3.0,3.0
9750,9,1,1,0,15.0,2.0
9751,10,1,1,0,3.0,3.0
9752,10,2,1,0,,
9753,11,1,1,0,3.0,3.0
9862,18,2,1,0,,
9863,19,1,1,0,3.0,3.0
9900,53,2,2,0,,
9901,54,1,2,0,3.0,3.0
9966,25,2,1,0,,
9967,26,1,1,0,13.0,3.0
9994,48,3,1,0,,
9996,48,1,2,0,3.0,3.0
10002,57,3,1,0,,
10004,58,1,2,0,15.0,3.0
10065,6,2,2,0,,
10066,6,1,2,0,3.0,3.0
10089,45,1,1,0,11.0,1.0
10090,45,1,1,0,12.0,3.0
10144,9,3,1,0,,
10147,10,1,1,0,3.0,3.0
10151,14,3,1,0,,
10153,16,1,2,0,9.0,3.0
10159,21,3,1,0,,
10161,22,1,1,0,3.0,3.0
10169,28,2,1,0,,
10170,29,1,1,0,3.0,3.0
10179,42,3,1,0,,
10181,42,1,2,0,3.0,3.0
10204,65,3,2,0,,
10205,68,1,1,0,3.0,3.0
10214,81,2,2,0,,
10215,81,1,2,0,3.0,3.0
10220,84,2,1,0,,
10221,86,1,1,0,3.0,3.0
10222,86,2,1,0,,
10223,87,1,1,0,3.0,3.0
10226,88,1,1,1,3.0,3.0
10237,4,2,2,0,,
10238,5,1,2,0,12.0,3.0
10272,31,2,2,0,,
10273,31,1,2,0,11.0,3.0
10281,36,1,1,0,15.0,2.0
10282,36,1,1,0,3.0,3.0
10287,43,3,1,0,,
10289,44,1,2,0,3.0,3.0
10317,68,2,1,0,,
10318,68,1,1,0,11.0,3.0
10357,3,2,1,0,,
10358,4,1,1,0,3.0,3.0
10411,51,1,1,0,15.0,1.0
10412,51,1,1,0,3.0,3.0
10430,68,2,1,0,,
10431,69,1,1,0,3.0,3.0
10432,69,1,1,0,3.0,3.0
10434,70,2,1,0,,
10435,70,1,1,0,3.0,3.0
10487,29,3,1,0,,
10489,30,1,1,0,3.0,3.0
10542,90,1,1,0,3.0,1.0
10543,90,1,1,0,3.0,3.0
10593,54,1,1,0,9.0,2.0
10594,56,1,2,0,3.0,3.0
10637,83,3,2,0,,
10639,86,1,2,1,3.0,3.0
10640,88,1,1,0,15.0,3.0
10675,30,2,1,0,,
10676,31,1,1,0,7.0,3.0
10709,61,1,1,0,9.0,1.0
10710,62,1,1,0,3.0,3.0
10745,7,1,2,0,9.0,1.0
10746,8,1,1,0,3.0,3.0
10781,41,2,2,0,,
10782,41,1,2,0,3.0,3.0
10800,50,9,1,0,,
10801,50,1,2,0,3.0,3.0
10803,51,3,2,0,,
10804,52,1,1,1,13.0,3.0
10813,61,2,1,0,,
10814,61,1,1,0,3.0,3.0
10882,34,3,2,0,,
10884,36,1,1,0,3.0,3.0
10906,60,3,2,0,,
10907,62,1,1,1,3.0,3.0
10908,63,1,1,0,3.0,1.0
10909,64,1,1,1,13.0,3.0
10945,90,1,2,0,15.0,1.0
10946,90,1,1,0,3.0,3.0
10958,6,3,2,0,,
10959,8,1,1,0,3.0,3.0
10984,25,1,1,0,15.0,1.0
10985,26,1,2,0,3.0,3.0
11033,54,2,1,0,,
11034,55,1,1,0,9.0,3.0
11071,82,2,1,0,,
11072,82,1,1,0,3.0,3.0
11102,18,1,2,0,15.0,2.0
11103,19,1,1,0,3.0,3.0
11202,2,2,1,0,,
11203,2,1,1,0,13.0,3.0
11221,22,2,1,0,,
11222,23,1,1,0,3.0,3.0
11272,66,2,2,0,,
11274,66,1,2,0,12.0,3.0
11335,22,2,1,0,,
11336,23,1,1,0,3.0,3.0
11342,30,2,1,0,,
11343,30,1,1,0,3.0,3.0
11360,42,1,1,0,15.0,1.0
11361,42,1,1,0,12.0,3.0
11366,45,3,2,0,,
11368,45,1,1,0,3.0,3.0
11404,71,3,1,0,,
11406,72,1,1,0,3.0,3.0
11415,79,9,1,0,,
11417,80,1,1,0,3.0,3.0
11423,83,3,1,0,,
11424,84,1,2,0,3.0,3.0
11461,29,2,2,0,,
11462,30,1,2,0,3.0,3.0
11532,4,2,1,0,,
11533,5,1,1,0,3.0,3.0
11660,8,3,2,0,,
11663,13,1,2,0,3.0,3.0
11676,25,3,2,0,,
11678,25,1,1,1,13.0,3.0
11728,62,2,2,0,,
11729,65,1,2,1,13.0,3.0
11730,65,3,2,0,,
11734,71,1,2,0,3.0,3.0
